iter	Passed	Remaining
662	1905	968
663	1906	964
664	1909	961
665	1910	958
666	1913	955
667	1915	951
668	1917	948
669	1919	945
670	1921	942
671	1924	939
672	1926	936
673	1928	932
674	1930	929
675	1932	926
676	1935	923
677	1937	920
678	1939	916
679	1941	913
680	1943	910
681	1945	907
682	1947	903
683	1949	900
684	1951	897
685	1953	894
686	1956	891
687	1958	888
688	1960	884
689	1962	881
690	1964	878
691	1966	875
692	1969	872
693	1970	869
694	1973	865
695	1975	862
696	1977	859
697	1979	856
698	1981	853
699	1984	850
700	1985	847
701	1988	844
702	1990	840
703	1992	837
704	1994	834
705	1996	831
706	1998	828
707	2001	825
708	2003	822
709	2005	818
710	2006	815
711	2009	812
712	2011	809
713	2013	806
714	2015	803
715	2018	800
716	2020	797
717	2022	794
718	2024	791
719	2027	788
720	2029	785
721	2031	782
722	2033	779
723	2036	776
724	2038	773
725	2040	770
726	2042	767
727	2044	764
728	2047	760
729	2049	757
730	2051	754
731	2053	751
732	2055	748
733	2058	745
734	2060	742
735	2062	739
736	2064	736
737	2067	733
738	2069	730
739	2071	727
740	2073	724
741	2075	721
742	2078	718
743	2079	715
744	2082	712
745	2084	709
746	2086	706
747	2088	703
748	2091	700
749	2093	697
750	2095	694
751	2097	691
752	2100	688
753	2102	685
754	2104	682
755	2106	679
756	2108	676
757	2110	673
758	2113	671
759	2115	668
760	2117	665
761	2120	662
762	2122	659
763	2125	656
764	2127	653
765	2129	650
766	2131	647
767	2134	644
768	2136	641
769	2139	638
770	2141	636
771	2143	633
772	2146	630
773	2148	627
774	2150	624
775	2154	621
776	2156	618
777	2158	615
778	2160	612
779	2162	609
780	2164	606
781	2166	603
782	2168	601
783	2170	598
784	2173	595
785	2175	592
786	2176	589
787	2179	586
788	2181	583
789	2183	580
790	2186	577
791	2188	574
792	2190	571
793	2193	568
794	2195	566
795	2198	563
796	2201	560
797	2204	557
798	2206	555
799	2209	552
800	2211	549
801	2213	546
802	2216	543
803	2218	540
804	2220	537
805	2222	535
806	2225	532
807	2227	529
808	2229	526
809	2232	523
810	2235	520
811	2238	518
812	2240	515
813	2242	512
814	2245	509
815	2247	506
816	2250	504
817	2253	501
818	2255	498
819	2257	495
820	2260	492
821	2262	489
822	2264	487
823	2267	484
824	2269	481
825	2272	478
826	2274	475
827	2276	472
828	2279	470
829	2281	467
830	2283	464
831	2286	461
832	2288	458
833	2290	455
834	2292	452
835	2294	450
836	2296	447
837	2298	444
838	2301	441
839	2303	438
840	2305	435
841	2307	433
842	2309	430
843	2311	427
844	2314	424
845	2316	421
846	2319	418
847	2321	416
848	2323	413
849	2326	410
850	2328	407
851	2330	404
852	2332	401
853	2334	399
854	2336	396
855	2338	393
856	2340	390
857	2343	387
858	2345	384
859	2347	382
860	2349	379
861	2351	376
862	2353	373
863	2355	370
864	2357	367
865	2359	365
866	2361	362
867	2363	359
868	2365	356
869	2368	353
870	2370	351
871	2372	348
872	2375	345
873	2377	342
874	2379	339
875	2381	337
876	2383	334
877	2385	331
878	2388	328
879	2390	325
880	2392	323
881	2395	320
882	2397	317
883	2399	314
884	2401	312
885	2403	309
886	2405	306
887	2408	303
888	2410	301
889	2412	298
890	2415	295
891	2417	292
892	2419	289
893	2421	287
894	2423	284
895	2425	281
896	2428	278
897	2430	276
898	2432	273
899	2434	270
900	2436	267
901	2443	265
902	2449	263
903	2454	260
904	2458	258
905	2461	255
906	2467	253
907	2470	250
908	2475	247
909	2479	245
910	2484	242
911	2486	239
912	2488	237
913	2491	234
914	2493	231
915	2495	228
916	2498	226
917	2500	223
918	2502	220
919	2505	217
920	2507	215
921	2509	212
922	2512	209
923	2514	206
924	2518	204
925	2522	201
926	2525	198
927	2527	196
928	2529	193
929	2532	190
930	2534	187
931	2536	185
932	2538	182
933	2541	179
934	2543	176
935	2546	174
936	2548	171
937	2550	168
938	2553	165
939	2555	163
940	2557	160
941	2560	157
942	2562	154
943	2564	152
944	2566	149
945	2569	146
946	2571	143
947	2574	141
948	2577	138
949	2579	135
950	2581	133
951	2583	130
952	2585	127
953	2588	124
954	2590	122
955	2593	119
956	2595	116
957	2598	113
958	2600	111
959	2602	108
960	2605	105
961	2607	102
962	2609	100
963	2611	97
964	2614	94
965	2616	92
966	2620	89
967	2622	86
968	2624	83
969	2627	81
970	2629	78
971	2631	75
972	2633	73
973	2636	70
974	2638	67
975	2640	64
976	2642	62
977	2645	59
978	2647	56
979	2649	54
980	2653	51
981	2656	48
982	2659	45
983	2662	43
984	2672	40
985	2677	38
986	2685	35
987	2691	32
988	2695	29
989	2699	27
990	2703	24
991	2707	21
992	2712	19
993	2714	16
994	2717	13
995	2719	10
996	2721	8
997	2723	5
998	2726	2
999	2729	0
