iter	RMSE
378	0.1654585439
379	0.165232027
380	0.164952315
381	0.1645887351
382	0.1643619746
383	0.1641384235
384	0.1639730364
385	0.1637085574
386	0.1634676096
387	0.1633092797
388	0.1630948032
389	0.1629239482
390	0.1628054312
391	0.1625853325
392	0.1624908497
393	0.1622181745
394	0.1620298684
395	0.1617962739
396	0.1616329824
397	0.1614596187
398	0.1613314058
399	0.1611625194
400	0.1609331009
401	0.1607705494
402	0.1605839686
403	0.1603879697
404	0.1602926246
405	0.1600755976
406	0.1599531842
407	0.1597358132
408	0.1595068566
409	0.1592742612
410	0.1591360177
411	0.1590142604
412	0.1588881372
413	0.15867731
414	0.1585164787
415	0.1583414749
416	0.1582024281
417	0.1580592698
418	0.1578142152
419	0.1575984072
420	0.1574943184
421	0.1572964325
422	0.1570205674
423	0.1567970124
424	0.1566877516
425	0.156572856
426	0.1564105037
427	0.156223204
428	0.1560876701
429	0.1557987905
430	0.1555348296
431	0.1554437859
432	0.1551090361
433	0.1548931163
434	0.1546234147
435	0.1544635483
436	0.1542643914
437	0.1541032657
438	0.1538400667
439	0.1536109259
440	0.1533812432
441	0.1532103198
442	0.1529629546
443	0.1527055903
444	0.1525762159
445	0.1523049797
446	0.1520925125
447	0.1519150223
448	0.1517221357
449	0.15158346
450	0.1514575882
451	0.1512089926
452	0.1509976273
453	0.1508341952
454	0.1505988415
455	0.150346414
456	0.1501657266
457	0.1499549284
458	0.1497788439
459	0.149597553
460	0.1494373288
461	0.1491915011
462	0.1490056249
463	0.14873913
464	0.1485369266
465	0.1483761021
466	0.1482063889
467	0.1479218353
468	0.1477695493
469	0.1475783218
470	0.1474397428
471	0.1473100399
472	0.1471204308
473	0.146974402
474	0.1468166685
475	0.1465531842
476	0.1464698981
477	0.1462653678
478	0.1461289955
479	0.1460022872
480	0.1458393002
481	0.1456371434
482	0.1454044215
483	0.1452268434
484	0.1450352447
485	0.1448485268
486	0.1446052805
487	0.1444254754
488	0.1443413273
489	0.144176321
490	0.1440175067
491	0.1438222773
492	0.1436972584
493	0.1435947987
494	0.1433633663
495	0.1432027985
496	0.1430686244
497	0.142944289
498	0.1428501146
499	0.142708728
500	0.1425910253
501	0.1423693721
502	0.1422009129
503	0.1420116214
504	0.1417769057
505	0.1415712284
506	0.1414229593
507	0.141262552
508	0.1411411151
509	0.1408905175
510	0.1407155853
511	0.1405834877
512	0.1403847608
513	0.1401939853
514	0.1400842367
515	0.1399073772
516	0.1396887615
517	0.1395235147
518	0.1393167309
519	0.139143253
520	0.1390155725
521	0.1388624779
522	0.138651025
523	0.1385152779
524	0.1383329208
525	0.1382443736
526	0.137988829
527	0.1378335488
528	0.1376779542
529	0.1375662794
530	0.1374061855
531	0.1371397994
532	0.1369761594
533	0.1368587508
534	0.1366605011
535	0.136423812
536	0.1363405588
537	0.1360717155
538	0.1358866525
539	0.1357610107
540	0.1355456037
541	0.1354038802
542	0.1352890223
543	0.1352010292
544	0.1350429784
545	0.1348492113
546	0.1347196268
547	0.1346484391
548	0.1345545997
549	0.1344103342
550	0.1342174039
551	0.134105667
552	0.1339119132
553	0.1337369548
554	0.1335171576
555	0.1333851059
556	0.1332488953
557	0.133118456
558	0.1329247133
559	0.1327904984
560	0.1326297703
561	0.1324673133
562	0.1323230778
563	0.1321547281
564	0.1320065244
565	0.1318032591
566	0.1316760786
567	0.1314246673
568	0.1312630076
569	0.1311613161
570	0.1309924872
571	0.1308265414
572	0.1306951571
573	0.1305636456
574	0.1303683852
575	0.1302095172
576	0.1300775804
577	0.129881686
578	0.1297219087
579	0.1295021066
580	0.1293326123
581	0.1291805079
582	0.1290027934
583	0.128866881
584	0.1286803854
585	0.1284958065
586	0.1282800507
587	0.1281548979
588	0.1279471745
589	0.1277396217
590	0.1276210557
591	0.1274800141
592	0.1273782274
593	0.1271937785
594	0.1270795706
595	0.1269476574
596	0.1268574234
597	0.1266798567
598	0.1265835047
599	0.1264941619
600	0.1263307064
601	0.1261547271
602	0.1259528988
603	0.125842797
604	0.1256817295
605	0.1255310093
606	0.1254059593
607	0.1253086161
608	0.1251245972
609	0.1250022018
610	0.1249087103
611	0.1247169128
612	0.1245712348
613	0.1244303119
614	0.1243094461
615	0.1241856895
616	0.1240551853
617	0.1239145064
618	0.1238256631
619	0.1237135024
620	0.1235978042
621	0.1234167715
622	0.1231815927
623	0.1231125239
624	0.1230469964
625	0.1229642695
626	0.1227999464
627	0.1226743242
628	0.1226121315
629	0.122420098
630	0.1222998596
631	0.1221060355
632	0.1219671665
633	0.1218199409
634	0.1217318618
635	0.1216116815
636	0.1214469921
637	0.1213160033
638	0.1211890658
639	0.1208890109
640	0.1207068748
641	0.1205572434
642	0.1204124329
643	0.1203129119
644	0.120151086
645	0.1200133478
646	0.1199100476
647	0.1198280605
648	0.1196769815
649	0.1196066672
650	0.1195274474
651	0.1193626688
652	0.1192616246
653	0.1191664983
654	0.1190482195
655	0.1189091409
656	0.1188025273
657	0.1186487316
658	0.1184506909
659	0.1182462466
660	0.1181628548
661	0.1180493478
662	0.1178723395
663	0.1177296902
664	0.1175591714
665	0.1174719738
666	0.1173605786
667	0.1172350338
668	0.1170970293
669	0.1170012383
670	0.1168911868
671	0.1168048871
672	0.1166828551
673	0.1165624844
674	0.1163714454
675	0.1161586464
676	0.1160517407
677	0.1159424706
678	0.1158037543
679	0.1157721817
680	0.1155905477
681	0.1154635183
682	0.1153538691
683	0.1152604423
684	0.1151150105
685	0.1149135683
686	0.1148011483
687	0.114663057
688	0.1144663209
689	0.1143790072
690	0.1142822232
691	0.114132372
692	0.1140623111
693	0.1139556141
694	0.1137436938
695	0.1136925478
696	0.1135355852
697	0.1134670566
698	0.1133799389
699	0.1133546076
700	0.1132675234
701	0.1131223528
702	0.1129792349
703	0.1128751043
704	0.1127313854
705	0.1125825309
706	0.1124231631
707	0.112286304
708	0.1122352158
709	0.1120866442
710	0.1120750677
711	0.1120286059
712	0.1119382406
713	0.1118201485
714	0.1116199124
715	0.1114764566
716	0.1113718893
717	0.1112961411
718	0.1111147451
719	0.1109932924
720	0.1109192991
721	0.1107357007
722	0.1105049236
723	0.1103888864
724	0.1102454264
725	0.1101239676
726	0.1100293549
727	0.1098835767
728	0.1098175058
729	0.1096997474
730	0.109620565
731	0.1094488955
